street,city,zipcode,beds,baths,sq__ft,price
aaaa,bbbb,95603,5,4,2085,256054
aaaa,bbbb,95602,3,2,2170,257729
aaaa,bbbb,95601,4,2,1595,260000
aaaa,bbbb,95600,3,2,1567,261000
aaaa,bbbb,95599,4,2,1253,264469
aaaa,bbbb,95598,4,3,1768,265000
aaaa,bbbb,95597,4,3,2030,270000
aaaa,bbbb,95596,3,2,1531,270000
aaaa,bbbb,95595,4,3,1653,275000
aaaa,bbbb,95594,4,2,2056,275000
aaaa,bbbb,95593,4,3,2494,280000
aaaa,bbbb,95592,3,2,1450,286013
aaaa,bbbb,95591,4,2,2169,292000
aaaa,bbbb,95590,3,2,1440,292000
aaaa,bbbb,95589,3,2,1527,293993
aaaa,bbbb,95588,3,2,1401,294000
aaaa,bbbb,95587,3,2,1411,296769
aaaa,bbbb,95586,3,1,1284,300000
aaaa,bbbb,95585,4,3,2307,300000
aaaa,bbbb,95584,3,2,1329,300000
aaaa,bbbb,95583,4,2,1910,300500
aaaa,bbbb,95582,3,2,1981,305000
aaaa,bbbb,95581,4,2,2205,319789
aaaa,bbbb,95580,2,2,1449,330000
aaaa,bbbb,95579,3,2,1258,330000
aaaa,bbbb,95578,3,2,2575,331000
aaaa,bbbb,95577,2,1,539,334000
aaaa,bbbb,95576,4,3,2208,336000
aaaa,bbbb,95575,3,1,1108,339000
aaaa,bbbb,95574,4,2,1595,339000
aaaa,bbbb,95573,4,2,2159,345000
aaaa,bbbb,95572,4,3,2295,350000
aaaa,bbbb,95571,3,2,1838,356000
aaaa,bbbb,95570,4,2,1900,361745
aaaa,bbbb,95569,4,2,1718,361948
aaaa,bbbb,95568,5,3,3389,370000
aaaa,bbbb,95567,5,4,3260,385000
aaaa,bbbb,95566,3,2,2016,399000
aaaa,bbbb,95565,4,2,2607,402000
aaaa,bbbb,95564,4,3,2724,406026
aaaa,bbbb,95563,5,4,3746,420000
aaaa,bbbb,95562,4,2,3192,425000
aaaa,bbbb,95561,2,1,1247,445000
aaaa,bbbb,95560,4,2,2581,450000
aaaa,bbbb,95559,3,1,2068,460000
aaaa,bbbb,95558,4,3,3992,460000
aaaa,bbbb,95557,4,4,3397,465000
aaaa,bbbb,95556,5,3,3881,471750
aaaa,bbbb,95555,2,2,1598,484000
aaaa,bbbb,95554,4,3,1929,485000
aaaa,bbbb,95553,4,3,3070,495000
aaaa,bbbb,95552,5,3,3984,572500
aaaa,bbbb,95551,4,2,2222,582000
aaaa,bbbb,95550,4,3,3838,613401
aaaa,bbbb,95549,5,5,2846,680000
aaaa,bbbb,95548,5,2,2484,699000
aaaa,bbbb,95547,4,4,1624,839000
aaaa,bbbb,95546,3,1,970,61500
aaaa,bbbb,95545,2,1,623,62050
aaaa,bbbb,95544,2,1,932,65000
aaaa,bbbb,95543,2,1,796,65000
aaaa,bbbb,95542,2,1,834,68000
aaaa,bbbb,95541,2,1,834,68000
aaaa,bbbb,95540,2,1,924,77000
aaaa,bbbb,95539,2,1,795,82732
aaaa,bbbb,95538,3,1,1250,84000
aaaa,bbbb,95537,2,1,984,84675
aaaa,bbbb,95536,3,1,1013,85000
aaaa,bbbb,95535,3,1,1012,90000
aaaa,bbbb,95534,2,1,795,90000
aaaa,bbbb,95533,2,2,918,91000
aaaa,bbbb,95532,3,1,1082,95000
aaaa,bbbb,95531,2,1,964,97500
aaaa,bbbb,95530,4,2,1404,100000
aaaa,bbbb,95529,1,1,625,100000
aaaa,bbbb,95528,2,1,888,101000
aaaa,bbbb,95527,4,2,1120,102750
aaaa,bbbb,95526,3,1,1331,112500
aaaa,bbbb,95525,3,1,1014,113000
aaaa,bbbb,95524,4,2,1448,114000
aaaa,bbbb,95523,3,1,966,114000
aaaa,bbbb,95522,2,1,779,114750
aaaa,bbbb,95521,2,2,836,115000
aaaa,bbbb,95520,2,2,1100,115000
aaaa,bbbb,95519,3,1,1174,116100
aaaa,bbbb,95518,3,2,1207,119250
aaaa,bbbb,95517,4,4,1995,120000
aaaa,bbbb,95516,2,1,804,120000
aaaa,bbbb,95515,2,2,958,120000
aaaa,bbbb,95514,3,2,1366,120108
aaaa,bbbb,95513,2,2,901,121500
aaaa,bbbb,95512,3,1,696,121725
aaaa,bbbb,95511,3,2,1080,122000
aaaa,bbbb,95510,3,2,1104,123000
aaaa,bbbb,95509,2,1,972,125000
aaaa,bbbb,95508,4,2,1390,125573
aaaa,bbbb,95507,4,2,1354,126714
aaaa,bbbb,95506,2,1,795,126960
aaaa,bbbb,95505,2,1,780,127000
aaaa,bbbb,95504,4,2,1587,127500
aaaa,bbbb,95503,3,2,1209,130000
aaaa,bbbb,95502,2,1,1139,133105
aaaa,bbbb,95501,2,2,1690,136500
aaaa,bbbb,95500,3,2,1245,139500
aaaa,bbbb,95499,3,2,1416,140000
aaaa,bbbb,95498,3,2,1300,140800
aaaa,bbbb,95497,3,2,1120,145000
aaaa,bbbb,95496,4,2,1590,147000
aaaa,bbbb,95495,3,2,1407,149600
aaaa,bbbb,95494,5,2,1516,150000
aaaa,bbbb,95493,3,2,1646,150000
aaaa,bbbb,95492,3,2,1676,155000
aaaa,bbbb,95491,3,2,1370,155435
aaaa,bbbb,95490,3,2,1370,155500
aaaa,bbbb,95489,4,2,1351,158000
aaaa,bbbb,95488,3,2,1152,158000
aaaa,bbbb,95487,3,2,1452,160000
aaaa,bbbb,95486,2,1,990,160000
aaaa,bbbb,95485,2,2,1162,164000
aaaa,bbbb,95484,3,2,1182,164000
aaaa,bbbb,95483,2,2,1112,165000
aaaa,bbbb,95482,3,2,1100,167000
aaaa,bbbb,95481,4,2,1280,167293
aaaa,bbbb,95480,4,2,1280,167293
aaaa,bbbb,95479,3,1,1039,168000
aaaa,bbbb,95478,3,2,1159,170000
aaaa,bbbb,95477,4,2,1917,170000
aaaa,bbbb,95476,3,2,1520,170000
aaaa,bbbb,95475,3,2,1204,174000
aaaa,bbbb,95474,3,2,1120,178000
aaaa,bbbb,95473,3,2,1436,180000
aaaa,bbbb,95472,3,2,1451,180000
aaaa,bbbb,95471,4,2,1638,180000
aaaa,bbbb,95470,2,2,1000,182000
aaaa,bbbb,95469,3,1,1152,188325
aaaa,bbbb,95468,3,2,1154,191500
aaaa,bbbb,95467,3,2,1353,192000
aaaa,bbbb,95466,3,2,1329,192700
aaaa,bbbb,95465,3,1,1356,195000
aaaa,bbbb,95464,3,2,1505,197654
aaaa,bbbb,95463,3,1,1009,198000
aaaa,bbbb,95462,3,2,1144,200345
aaaa,bbbb,95461,2,1,930,203000
aaaa,bbbb,95460,4,2,1766,207000
aaaa,bbbb,95459,4,3,1940,208000
aaaa,bbbb,95458,4,2,1776,210000
aaaa,bbbb,95457,3,1,1258,212000
aaaa,bbbb,95456,4,2,1872,213675
aaaa,bbbb,95455,2,2,1112,213697
aaaa,bbbb,95454,4,2,1856,215000
aaaa,bbbb,95453,4,3,1939,215000
aaaa,bbbb,95452,3,1,998,215100
aaaa,bbbb,95451,3,2,1758,217500
aaaa,bbbb,95450,3,2,2142,218000
aaaa,bbbb,95449,2,1,950,220000
aaaa,bbbb,95448,4,3,1739,221000
aaaa,bbbb,95447,3,2,1516,222900
aaaa,bbbb,95446,3,1,988,223139
aaaa,bbbb,95445,4,2,1555,225500
aaaa,bbbb,95444,3,2,1212,228327
aaaa,bbbb,95443,4,2,1871,230000
aaaa,bbbb,95442,3,2,1302,230000
aaaa,bbbb,95441,2,1,756,230522
aaaa,bbbb,95440,4,3,2026,231200
aaaa,bbbb,95439,3,2,1375,232000
aaaa,bbbb,95438,2,2,1250,232500
aaaa,bbbb,95437,3,1,1058,233641
aaaa,bbbb,95436,3,2,1187,234000
aaaa,bbbb,95435,2,2,1324,234500
aaaa,bbbb,95434,4,3,1936,235000
aaaa,bbbb,95433,5,4,2382,236000
aaaa,bbbb,95432,3,2,1427,236073
aaaa,bbbb,95431,3,2,1678,238000
aaaa,bbbb,95430,4,2,1798,238861
aaaa,bbbb,95429,4,3,2652,239700
aaaa,bbbb,95428,4,2,1816,240000
aaaa,bbbb,95427,5,3,3076,240000
aaaa,bbbb,95426,4,2,1844,241000
aaaa,bbbb,95425,3,2,1306,245000
aaaa,bbbb,95424,4,3,2447,246000
aaaa,bbbb,95423,4,2,1176,247234
aaaa,bbbb,95422,4,2,1182,247480
aaaa,bbbb,95421,3,1,1160,249862
aaaa,bbbb,95420,3,2,1424,251000
aaaa,bbbb,95419,4,2,1574,252155
aaaa,bbbb,95418,3,2,1830,254172
aaaa,bbbb,95417,4,2,1724,258000
aaaa,bbbb,95416,2,2,1255,260000
aaaa,bbbb,95415,4,3,2175,261000
aaaa,bbbb,95414,4,2,1904,261000
aaaa,bbbb,95413,4,2,1808,262500
aaaa,bbbb,95412,4,2,2711,266000
aaaa,bbbb,95411,3,1,1713,266000
aaaa,bbbb,95410,3,2,1457,270000
aaaa,bbbb,95409,4,3,2724,274425
aaaa,bbbb,95408,3,2,1468,275336
aaaa,bbbb,95407,4,3,2550,277980
aaaa,bbbb,95406,4,2,1928,280000
aaaa,bbbb,95405,3,3,1922,284686
aaaa,bbbb,95404,3,2,1343,284893
aaaa,bbbb,95403,3,2,1510,285000
aaaa,bbbb,95402,2,2,960,285000
aaaa,bbbb,95401,4,2,1559,285000
aaaa,bbbb,95400,3,2,1624,289000
aaaa,bbbb,95399,5,3,2992,295000
aaaa,bbbb,95398,4,2,2109,296000
aaaa,bbbb,95397,4,2,1524,296056
aaaa,bbbb,95396,3,2,1248,297359
aaaa,bbbb,95395,4,2,1876,299940
aaaa,bbbb,95394,4,3,1851,305000
aaaa,bbbb,95393,4,2,2218,311328
aaaa,bbbb,95392,3,2,1394,313138
aaaa,bbbb,95391,3,2,1410,316630
aaaa,bbbb,95390,5,3,3468,320000
aaaa,bbbb,95389,5,3,2346,320000
aaaa,bbbb,95388,5,3,2347,325000
aaaa,bbbb,95387,4,2,1659,328578
aaaa,bbbb,95386,3,3,2442,331000
aaaa,bbbb,95385,4,2,2155,340000
aaaa,bbbb,95384,3,2,1810,345746
aaaa,bbbb,95383,4,2,2789,351000
aaaa,bbbb,95382,4,2,1606,353767
aaaa,bbbb,95381,4,2,2166,356035
aaaa,bbbb,95380,4,2,1871,360552
aaaa,bbbb,95379,3,2,1800,362305
aaaa,bbbb,95378,3,1,1683,365000
aaaa,bbbb,95377,2,2,1596,370000
aaaa,bbbb,95376,3,2,1179,378000
aaaa,bbbb,95375,3,1,1639,388000
aaaa,bbbb,95374,5,3,3281,395100
aaaa,bbbb,95373,3,2,1697,400000
aaaa,bbbb,95372,4,3,2085,408431
aaaa,bbbb,95371,4,2,1744,416767
aaaa,bbbb,95370,4,3,1939,423000
aaaa,bbbb,95369,2,3,1788,427500
aaaa,bbbb,95368,3,2,1691,430922
aaaa,bbbb,95367,4,2,2002,445000
aaaa,bbbb,95366,4,4,4303,450000
aaaa,bbbb,95365,5,3,4246,452000
aaaa,bbbb,95364,3,2,2274,470000
aaaa,bbbb,95363,4,4,3056,475000
aaaa,bbbb,95362,3,3,2503,484500
aaaa,bbbb,95361,3,2,1905,500000
aaaa,bbbb,95360,3,2,1320,506688
aaaa,bbbb,95359,4,2,3037,528000
aaaa,bbbb,95358,5,2,3741,579093
aaaa,bbbb,95357,4,3,2660,636000
aaaa,bbbb,95356,4,3,3357,668365
aaaa,bbbb,95355,5,3,2896,676200
aaaa,bbbb,95354,3,2,2025,677048
aaaa,bbbb,95353,5,3,3788,691659
aaaa,bbbb,95352,5,3,3670,760000
aaaa,bbbb,95351,2,1,838,55422
aaaa,bbbb,95350,2,1,904,63000
aaaa,bbbb,95349,2,1,1032,65000
aaaa,bbbb,95348,2,1,904,65000
aaaa,bbbb,95347,2,1,1080,65000
aaaa,bbbb,95346,2,2,990,66500
aaaa,bbbb,95345,2,1,900,71000
aaaa,bbbb,95344,2,1,861,75000
aaaa,bbbb,95343,2,1,906,77000
aaaa,bbbb,95342,2,1,1011,85000
aaaa,bbbb,95341,3,2,1089,95625
aaaa,bbbb,95340,2,1,832,96140
aaaa,bbbb,95339,2,1,800,104250
aaaa,bbbb,95338,4,2,1292,105000
aaaa,bbbb,95337,2,1,810,108000
aaaa,bbbb,95336,4,2,1064,109000
aaaa,bbbb,95335,2,1,911,115000
aaaa,bbbb,95334,1,1,846,115000
aaaa,bbbb,95333,3,2,1320,115500
aaaa,bbbb,95332,3,2,1410,115620
aaaa,bbbb,95331,3,2,1115,116000
aaaa,bbbb,95330,3,2,1169,122000
aaaa,bbbb,95329,3,2,1164,122500
aaaa,bbbb,95328,4,2,1341,123000
aaaa,bbbb,95327,3,2,1219,124000
aaaa,bbbb,95326,4,2,1127,124000
aaaa,bbbb,95325,3,2,1272,124413
aaaa,bbbb,95324,4,2,1253,125000
aaaa,bbbb,95323,3,2,1120,130000
aaaa,bbbb,95322,2,2,1118,131750
aaaa,bbbb,95321,4,3,1890,137721
aaaa,bbbb,95320,3,2,1260,137760
aaaa,bbbb,95319,3,2,1400,138000
aaaa,bbbb,95318,3,1,1264,140000
aaaa,bbbb,95317,3,1,1060,145000
aaaa,bbbb,95316,2,2,1132,145000
aaaa,bbbb,95315,3,2,1466,150000
aaaa,bbbb,95314,3,2,1092,150000
aaaa,bbbb,95313,4,2,1628,151000
aaaa,bbbb,95312,3,2,960,155000
aaaa,bbbb,95311,3,2,1075,155800
aaaa,bbbb,95310,3,2,1428,156142
aaaa,bbbb,95309,4,2,1358,158000
aaaa,bbbb,95308,6,4,2475,159900
aaaa,bbbb,95307,3,2,1410,160000
aaaa,bbbb,95306,3,2,1711,161500
aaaa,bbbb,95305,4,2,1483,161600
aaaa,bbbb,95304,3,2,1140,162000
aaaa,bbbb,95303,4,2,1549,165000
aaaa,bbbb,95302,3,2,1410,165000
aaaa,bbbb,95301,3,2,1240,167293
aaaa,bbbb,95300,5,2,1712,168000
aaaa,bbbb,95299,4,2,1580,168000
aaaa,bbbb,95298,3,2,1669,168750
aaaa,bbbb,95297,3,1,1029,168750
aaaa,bbbb,95296,3,1,1103,170000
aaaa,bbbb,95295,3,2,2161,170250
aaaa,bbbb,95294,3,2,1650,173000
aaaa,bbbb,95293,3,1,1320,175000
aaaa,bbbb,95292,3,2,1200,176095
aaaa,bbbb,95291,3,2,1170,176250
aaaa,bbbb,95290,3,2,1199,178000
aaaa,bbbb,95289,4,2,1695,179000
aaaa,bbbb,95288,3,2,1157,180000
aaaa,bbbb,95287,3,2,1410,180000
aaaa,bbbb,95286,3,2,1174,180000
aaaa,bbbb,95285,3,2,1593,181000
aaaa,bbbb,95284,3,2,1093,182000
aaaa,bbbb,95283,3,2,1770,182587
aaaa,bbbb,95282,4,2,1436,185074
aaaa,bbbb,95281,3,2,1124,185833
aaaa,bbbb,95280,4,2,1139,186785
aaaa,bbbb,95279,3,2,1638,187000
aaaa,bbbb,95278,3,2,1328,188335
aaaa,bbbb,95277,3,2,1273,190000
aaaa,bbbb,95276,3,1,1082,190000
aaaa,bbbb,95275,4,2,1578,190000
aaaa,bbbb,95274,2,1,796,190000
aaaa,bbbb,95273,3,2,1386,191250
aaaa,bbbb,95272,3,2,1452,193000
aaaa,bbbb,95271,3,2,1513,193500
aaaa,bbbb,95270,4,2,1578,195000
aaaa,bbbb,95269,4,3,1736,195000
aaaa,bbbb,95268,3,1,1473,195000
aaaa,bbbb,95267,3,1,1150,198000
aaaa,bbbb,95266,3,2,1127,199900
aaaa,bbbb,95265,3,1,1144,200000
aaaa,bbbb,95264,3,1,972,201000
aaaa,bbbb,95263,4,2,2306,204918
aaaa,bbbb,95262,3,2,1479,205000
aaaa,bbbb,95261,2,1,1040,205000
aaaa,bbbb,95260,3,2,1430,205878
aaaa,bbbb,95259,4,2,1800,207000
aaaa,bbbb,95258,4,2,1953,207744
aaaa,bbbb,95257,3,2,1120,209000
aaaa,bbbb,95256,3,2,1232,210000
aaaa,bbbb,95255,1,1,984,210944
aaaa,bbbb,95254,4,2,2329,213750
aaaa,bbbb,95253,3,2,1351,215000
aaaa,bbbb,95252,4,1,1376,215000
aaaa,bbbb,95251,3,2,1300,216033
aaaa,bbbb,95250,4,2,1566,220000
aaaa,bbbb,95249,2,1,1115,220000
aaaa,bbbb,95248,2,1,1032,220000
aaaa,bbbb,95247,4,2,1419,220000
aaaa,bbbb,95246,3,2,1261,220000
aaaa,bbbb,95245,2,2,1637,220702
aaaa,bbbb,95244,4,2,1776,221250
aaaa,bbbb,95243,3,2,1338,222000
aaaa,bbbb,95242,5,2,2254,222750
aaaa,bbbb,95241,3,2,1441,225000
aaaa,bbbb,95240,4,2,1991,225000
aaaa,bbbb,95239,4,3,2126,228750
aaaa,bbbb,95238,3,2,1094,229000
aaaa,bbbb,95237,3,2,1462,230095
aaaa,bbbb,95236,5,3,2258,232500
aaaa,bbbb,95235,3,2,1074,233000
aaaa,bbbb,95234,4,2,2111,233500
aaaa,bbbb,95233,3,2,1686,239000
aaaa,bbbb,95232,4,3,1915,240000
aaaa,bbbb,95231,4,2,2367,240000
aaaa,bbbb,95230,3,2,1962,240971
aaaa,bbbb,95229,2,2,1406,242000
